ts,bus_voltage,shunt_voltage,load_voltage,current,power
230823182230,2.62,0.13,2.62,1.30,4.00
230823182230,2.62,0.15,2.62,1.50,4.00
230823182230,2.62,0.12,2.62,1.40,4.00
230823182230,2.62,0.14,2.62,1.20,4.00
230823182230,2.62,0.14,2.62,1.40,4.00
230823182230,2.62,0.12,2.62,1.50,4.00
230823182231,2.62,0.12,2.62,1.40,4.00
230823182231,2.62,0.13,2.62,1.10,4.00
230823182231,2.62,0.14,2.62,1.30,4.00
230823182231,2.62,0.11,2.62,1.30,4.00
230823182231,2.62,0.13,2.62,1.40,4.00
230823182231,2.62,0.12,2.62,1.30,4.00
230823182231,2.61,0.14,2.61,1.50,4.00
230823182232,2.62,0.13,2.62,1.30,4.00
230823182232,2.62,0.13,2.62,1.40,4.00
230823182232,2.62,0.15,2.62,1.40,4.00
230823182232,2.61,0.11,2.61,1.40,4.00
230823182232,2.62,0.13,2.62,1.30,4.00
230823182232,2.62,0.16,2.62,1.50,4.00
230823182232,2.62,0.14,2.62,1.20,4.00
230823182232,2.62,0.15,2.62,1.50,4.00
230823182233,2.62,0.15,2.62,1.20,4.00
230823182233,2.61,0.11,2.61,1.30,4.00
230823182233,2.62,0.10,2.62,1.30,4.00
230823182233,2.62,0.14,2.62,1.50,4.00
230823182233,2.62,0.12,2.62,1.40,4.00
230823182233,2.62,0.13,2.62,1.30,4.00
230823182233,2.62,0.12,2.62,1.40,4.00
230823182233,2.62,0.11,2.62,1.50,4.00
230823182234,2.62,0.15,2.62,1.40,4.00
230823182234,2.62,0.11,2.62,1.40,4.00
230823182234,2.62,0.12,2.62,1.30,4.00
230823182234,2.62,0.15,2.62,1.40,4.00
230823182234,2.62,0.16,2.62,1.30,4.00
230823182234,2.62,0.13,2.62,1.50,4.00
230823182234,2.62,0.15,2.62,1.40,4.00
230823182235,2.62,0.11,2.62,1.30,4.00
230823182235,2.62,0.13,2.62,1.40,4.00
230823182235,2.62,0.14,2.62,1.40,4.00
230823182235,2.62,0.11,2.62,1.40,4.00
230823182235,2.62,0.14,2.62,1.50,4.00
230823182235,2.62,0.12,2.62,1.50,4.00
230823182235,2.62,0.12,2.62,1.30,4.00
230823182235,2.62,0.13,2.62,1.50,4.00
230823182236,2.62,0.11,2.62,1.30,4.00
230823182236,2.62,0.11,2.62,1.50,4.00
230823182236,2.62,0.15,2.62,1.30,4.00
230823182236,2.62,0.11,2.62,1.40,4.00
230823182236,2.62,0.13,2.62,1.30,4.00
230823182236,2.62,0.17,2.62,1.70,4.00
230823182236,2.62,0.12,2.62,1.40,4.00
230823182237,2.62,0.11,2.62,1.60,4.00
230823182237,2.62,0.13,2.62,1.10,4.00
230823182237,2.62,0.12,2.62,1.20,4.00
230823182237,2.62,0.11,2.62,1.20,4.00
230823182237,2.62,0.12,2.62,1.70,4.00
230823182237,2.62,0.09,2.62,1.30,4.00
230823182237,2.62,0.12,2.62,1.50,4.00
230823182237,2.62,0.11,2.62,1.40,4.00
230823182238,2.62,0.13,2.62,1.70,4.00
230823182238,2.62,0.11,2.62,1.50,4.00
230823182238,2.62,0.13,2.62,1.00,4.00
230823182238,2.62,0.13,2.62,1.20,4.00
230823182238,2.62,0.13,2.62,1.20,4.00
230823182238,2.62,0.14,2.62,1.30,4.00
230823182238,2.61,0.13,2.61,1.20,4.00
230823182239,2.62,0.10,2.62,1.20,4.00
230823182239,2.62,0.14,2.62,1.60,4.00
230823182239,2.62,0.12,2.62,1.40,4.00
230823182239,2.62,0.11,2.62,1.40,4.00
230823182239,2.62,0.15,2.62,1.30,4.00
230823182239,2.62,0.13,2.62,1.50,4.00
230823182239,2.62,0.13,2.62,1.50,4.00
230823182239,2.62,0.13,2.62,1.10,4.00
230823182240,2.62,0.12,2.62,1.30,4.00
230823182240,2.62,0.12,2.62,1.50,4.00
230823182240,2.62,0.15,2.62,1.30,4.00
230823182240,2.62,0.13,2.62,1.60,4.00
230823182240,2.62,0.12,2.62,1.30,4.00
230823182240,2.62,0.12,2.62,1.20,4.00
230823182240,2.62,0.14,2.62,1.40,4.00
230823182241,2.62,0.11,2.62,1.30,4.00
230823182241,2.62,0.13,2.62,1.40,4.00
230823182241,2.62,0.16,2.62,1.30,4.00
230823182241,2.62,0.11,2.62,1.30,4.00
230823182241,2.62,0.14,2.62,1.40,4.00
230823182241,2.62,0.14,2.62,1.40,4.00
230823182241,2.62,0.14,2.62,1.50,4.00
230823182241,2.62,0.11,2.62,1.30,4.00
230823182242,2.62,0.09,2.62,1.40,4.00
230823182242,2.62,0.11,2.62,1.40,4.00
230823182242,2.62,0.12,2.62,1.40,4.00
230823182242,2.62,0.11,2.62,1.20,4.00
230823182242,2.62,0.12,2.62,1.10,4.00
230823182242,2.62,0.17,2.62,1.30,4.00
230823182242,2.62,0.11,2.62,1.30,4.00
230823182242,2.62,0.11,2.62,1.00,4.00
230823182243,2.62,0.12,2.62,1.30,4.00
230823182243,2.61,0.14,2.61,1.20,4.00
230823182243,2.62,0.14,2.62,1.40,4.00
230823182243,2.62,0.11,2.62,1.10,4.00
230823182243,2.62,0.12,2.62,1.30,4.00
230823182243,2.62,0.14,2.62,1.30,4.00
230823182243,2.61,0.11,2.61,1.50,4.00
230823182244,2.62,0.13,2.62,1.20,4.00
230823182244,2.62,0.12,2.62,1.50,4.00
230823182244,2.62,0.11,2.62,1.10,4.00
230823182244,2.61,0.13,2.61,1.10,4.00
230823182244,2.62,0.13,2.62,1.20,4.00
230823182244,2.62,0.15,2.62,1.20,4.00
230823182244,2.61,0.12,2.61,1.30,4.00
230823182244,2.62,0.12,2.62,1.30,4.00
230823182245,2.62,0.13,2.62,1.50,4.00
230823182245,2.62,0.09,2.62,1.30,4.00
230823182245,2.62,0.10,2.62,1.30,4.00
230823182245,2.61,0.14,2.61,1.20,4.00
230823182245,2.62,0.14,2.62,1.30,4.00
230823182245,2.62,0.12,2.62,1.40,4.00
230823182245,2.62,0.13,2.62,1.40,4.00
230823182246,2.61,0.11,2.61,1.30,4.00
230823182246,2.62,0.11,2.62,1.10,4.00
230823182246,2.62,0.12,2.62,0.90,4.00
230823182246,2.62,0.11,2.62,1.00,4.00
230823182246,2.62,0.11,2.62,1.30,4.00
230823182246,2.62,0.13,2.62,1.20,4.00
230823182246,2.62,0.14,2.62,1.40,4.00
230823182247,2.62,0.12,2.62,1.20,4.00
230823182247,2.62,0.10,2.62,1.10,4.00
230823182247,2.62,0.13,2.62,1.30,4.00
230823182247,2.62,0.12,2.62,1.10,4.00
230823182247,2.62,0.11,2.62,1.40,4.00
230823182247,2.62,0.13,2.62,1.10,4.00
230823182247,2.62,0.17,2.62,1.10,4.00
